02-18 18:10 pyswallow.utils.reporter INFO     Swarm initialised successfully
02-18 18:10 pyswallow.utils.reporter DEBUG    Populations reset
02-18 18:10 pyswallow.utils.reporter DEBUG    Environment reset
02-18 18:10 pyswallow.utils.reporter DEBUG    Population initialised
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 0	GBest Fitness = 59.844	GBest Position = [ 5.10418876 -5.72639865]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 1	GBest Fitness = 11.164	GBest Position = [-1.55827368  2.78134725]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 2	GBest Fitness = 11.164	GBest Position = [-1.55827368  2.78134725]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 3	GBest Fitness = 11.164	GBest Position = [-1.55827368  2.78134725]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 4	GBest Fitness = 11.164	GBest Position = [-1.55827368  2.78134725]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 5	GBest Fitness = 9.283	GBest Position = [ 2.26255344 -1.7786647 ]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 6	GBest Fitness = 4.573	GBest Position = [ 1.55737992 -1.07123225]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 7	GBest Fitness = 4.573	GBest Position = [ 1.55737992 -1.07123225]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 8	GBest Fitness = 4.573	GBest Position = [ 1.55737992 -1.07123225]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 9	GBest Fitness = 4.573	GBest Position = [ 1.55737992 -1.07123225]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 10	GBest Fitness = 1.604	GBest Position = [-0.47183626  0.61725928]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 11	GBest Fitness = 1.359	GBest Position = [ 0.43812222 -0.40918197]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 12	GBest Fitness = 1.359	GBest Position = [ 0.43812222 -0.40918197]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 13	GBest Fitness = 1.359	GBest Position = [ 0.43812222 -0.40918197]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 14	GBest Fitness = 1.246	GBest Position = [ 0.48491962 -0.10526287]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 15	GBest Fitness = 1.102	GBest Position = [ 0.09596573 -0.30472607]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 16	GBest Fitness = 1.102	GBest Position = [ 0.09596573 -0.30472607]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 17	GBest Fitness = 1.102	GBest Position = [ 0.09596573 -0.30472607]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 18	GBest Fitness = 1.102	GBest Position = [ 0.09596573 -0.30472607]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 19	GBest Fitness = 1.102	GBest Position = [ 0.09596573 -0.30472607]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 20	GBest Fitness = 1.102	GBest Position = [ 0.09596573 -0.30472607]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 21	GBest Fitness = 1.102	GBest Position = [ 0.09596573 -0.30472607]
